"Timestamp","Nombor Enumerator","Jantina","Umur","Bangsa","Negeri","Tahap Pendidikan","Adakah anda sedang menjalankan perniagaan?","Nama Syarikat Perniagaan","Jenis Pendaftaran Perniagaan","Bidang Perniagaan","Negeri","Anggaran Jualan Bulanan (Tahunan) Syarikat Semasa","Bahagian, Jabatan, dan Agensi di bawah KKDW pemberi manfaat (boleh lebih daripada 1 jawapan)","Jenis bantuan / kemudahan yang telah di terima  (boleh lebih daripada 1 jawapan)","Anggaran Jualan Bulanan (Tahunan) Syarikat Sebelum Menyertai Program Keusahawanan KKDW","Sejauh manakah anda bersetuju bahawa terdapat akses yang terhad kepada pembiayaan modal, infrastruktur, teknologi, peluang latihan, mentorship dan lain-lain?","Sejauh mana anda percaya bahawa terdapat jurang dalam pendidikan dan kemahiran di kalangan masyarakat kita seperti pembangunan kemahiran, dan keperluan pasaran dan industri?","Sejauh mana anda merasakan bahawa cabaran sosioekonomi seperti modal dan stigma masyarakat mempengaruhi peluang pembangunan peribadi?","Sejauh mana anda mengalami kesukaran dalam mendapatkan rangkaian (networking) yang mencukupi untuk perkembangan peribadi atau perniagaan anda?","Sejauh mana anda percaya bahawa masyarakat kita tidak mempunyai keupayaan bersaing dalam ekonomi global?","Sejauh mana anda menganggap bahawa halangan perundangan dan peraturan (regulasi) mempengaruhi perkembangan perniagaan atau aktiviti sosial?","Sejauh mana anda bersetuju bahawa kekurangan wira aspirasi (ikon / mentor / coach) merupakan cabaran utama dalam mencapai matlamat peribadi atau profesional?","Sejauh mana anda melihat kelestarian (sustainability) dan sistem sokongan komprehensif sebagai elemen penting dalam membangunkan komuniti usahawan?","Nyatakan isu-isu selain yang dinyatakan di atas (jika ada)","Sejauh manakah anda bersetuju bahawa program keusahawanan patut di uruskan dengan lebih sistematik merentasi agensi di bawah selian KKDW dan juga di kementerian lain, untuk mengelakkan sebarang bentuk duplikasi (program sama)?","Sejauh manakah anda percaya bahawa usaha penstrukturan semula patut di ambil terhadap fungsi dan peranan keusahawanan di setiap Bahagian, Jabatan, dan Agensi dalam KKDW?","Sejauh manakah anda bersetuju bahawa KKDW perlu menyediakan ruang serta sokongan kepada usahawan agar mampu bersaing dan maju dalam perniagaan?","Sejauh mana anda bersetuju bahawa KKDW patut memberikan penekanan kepada impak setiap program bagi memastikan hasil pelaburan (Return on Invesment) dikeluarkan kerajaan adalah setimpal.","Sila nyatakan pandangan dan cadangan anda bagi menambahbaik program keusahawanan di bawah KKDW."
"2023/11/22 10:42:29 am GMT+8","PUTRA10","Perempuan","15 - 24 tahun","Melayu","WP Kuala Lumpur","Diploma","Tidak","","","","","","MARA- Majlis Amanah Rakyat;KEMAS - Jabatan Kemajuan Masyarakat;PERDA - Lembaga Kemajuan Wilayah Pulau Pinang","Latihan sahaja;Perniagaan online;Promosi / pemasaran;Packaging;Selain di atas","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","4","3","4","5","4","3","4","4","","5","4","5","5",""
"2023/11/22 10:49:22 am GMT+8","PUTRA10","Perempuan","25 - 54 tahun","Melayu","Selangor","SPM","Ya","Ratimah ghazali","Syarikat Sendirian Berhad (Sdn Bhd)","Makanan & Minuman (F&B)","Selangor","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","KEMAS - Jabatan Kemajuan Masyarakat","Selain di atas","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","5","5","5","4","5","4","5","5","","5","5","5","5",""
"2023/11/22 10:49:38 am GMT+8","PUTRA09","Lelaki","25 - 54 tahun","Melayu","Melaka","SPM","Ya","MJ NUR GEMILANG ENTERPRISE","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Melaka","RM25,000 hingga RM1.25juta sebulan (RM300,000 hingga RM15juta tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Geran bantuan;Pinjaman (modal pusingan, aset, alatan);Pembiayaan (dana bank);Peralatan (in kind);Peralatan (in kind + latihan);Latihan sahaja;Geran penyelidikan;Gerai / warung desa;Perniagaan online;Promosi / pemasaran;Packaging;Business matching","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","5","4","5","4","5","4","5","4","","5","4","5","4",""
"2023/11/22 10:49:58 am GMT+8","PUTRA07","Perempuan","25 - 54 tahun","Melayu","Melaka","Tidal tahu","Ya","Qakcta cookies","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Melaka","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Geran bantuan;Peralatan (in kind);Latihan sahaja","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","3","4","4","4","4","4","4","4","","4","4","3","4",""
"2023/11/22 10:51:14 am GMT+8","PUTRA06","Lelaki","25 - 54 tahun","Melayu","Negeri Sembilan","Ijazah Sarjana Muda","Ya","Dodol Cik Ani Enterprise","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Negeri Sembilan","RM12,500 hingga RM25,000 sebulan (RM150,000 hingga RM300,000 tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Geran bantuan;Packaging","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","2","3","3","2","2","2","2","5","","4","3","4","4",""
"2023/11/22 10:52:48 am GMT+8","PUTRA10","Perempuan","15 - 24 tahun","Melayu","WP Kuala Lumpur","Diploma","Ya","cheesyshopia","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","WP Kuala Lumpur","Kurang RM2,000 sebulan (RM24,000 tahunan)","MARA- Majlis Amanah Rakyat","Packaging","Kurang RM2,000 sebulan (RM24,000 tahunan)","4","4","4","4","4","4","4","4","tiada","4","4","4","4","tiada"
"2023/11/22 10:53:40 am GMT+8","PUTRA05","Lelaki","55 - 64 tahun","Melayu","Terengganu","SPM","Ya","Ahmad Syukri bin Yusoff","Milikan Tunggal (Enterprise)","Pembuatan - Perabot, Kraftangan dll","Terengganu","Kurang RM2,000 sebulan (RM24,000 tahunan)","KETENGAH - Lembaga Kemajuan Terengganu Tengah","Peralatan (in kind)","Kurang RM2,000 sebulan (RM24,000 tahunan)","5","2","5","1","5","5","4","4","","5","5","5","5",""
"2023/11/22 10:55:40 am GMT+8","PUTRA10","Perempuan","25 - 54 tahun","Melayu","Selangor","SPM","Ya","Ayashaari handmade","Milikan Tunggal (Enterprise)","Pembuatan - Perabot, Kraftangan dll","Selangor","Kurang RM2,000 sebulan (RM24,000 tahunan)","KEMAS - Jabatan Kemajuan Masyarakat","Selain di atas","Kurang RM2,000 sebulan (RM24,000 tahunan)","3","3","3","3","4","3","3","3","","4","4","4","4",""
"2023/11/22 10:58:27 am GMT+8","PUTRA07","Perempuan","25 - 54 tahun","Melayu","Kedah","SPM","Ya","Ladang Landak Raya","Perkongsian (Enterprise)","Selain di atas","Kedah","Kurang RM2,000 sebulan (RM24,000 tahunan)","KEDA - Lembaga Kemajuah Wilayah Kedah","Peralatan (in kind)","Kurang RM2,000 sebulan (RM24,000 tahunan)","4","3","5","4","4","3","4","3","","3","4","4","3",""
"2023/11/22 10:58:30 am GMT+8","PUTRA09","Lelaki","55 - 64 tahun","Melayu","Kedah","SPM","Ya","Landak Raya","Perkongsian (Enterprise)","Selain di atas","Kedah","Kurang RM2,000 sebulan (RM24,000 tahunan)","KEDA - Lembaga Kemajuah Wilayah Kedah","Peralatan (in kind)","Kurang RM2,000 sebulan (RM24,000 tahunan)","5","4","3","4","2","4","4","3","","3","5","4","4",""
